route,route_mean_price,route_median_price,route_min_price,route_max_price,route_count,route_price_range
Aracaju (SE) → Brasilia (DF),762.2562290167865,755.62,472.72,959.29,3336,486.56999999999994
Aracaju (SE) → Campo Grande (MS),1109.3103101182653,1116.83,743.54,1389.37,3805,645.8299999999999
Aracaju (SE) → Florianopolis (SC),1231.3812016528927,1174.97,852.18,1582.41,6050,730.2300000000001
Aracaju (SE) → Natal (RN),486.2059329971182,535.95,332.1,598.61,2776,266.51
Aracaju (SE) → Recife (PE),895.5458955659277,875.41,602.49,1124.11,3428,521.6199999999999
Aracaju (SE) → Rio de Janeiro (RJ),994.9552950230888,1007.72,712.64,1190.94,1949,478.30000000000007
Aracaju (SE) → Salvador (BH),1362.7001263362488,1289.05,943.36,1723.71,2058,780.35
Aracaju (SE) → Sao Paulo (SP),614.1612929442186,630.34,410.79,756.3,2707,345.50999999999993
Brasilia (DF) → Aracaju (SE),1021.2105705882353,987.07,654.88,1287.52,3400,632.64
Brasilia (DF) → Campo Grande (MS),868.300925345044,851.15,583.6,1096.58,3188,512.9799999999999
Brasilia (DF) → Florianopolis (SC),1259.1227407543024,1222.24,884.94,1576.97,5462,692.03
Brasilia (DF) → Natal (RN),1125.3827761627906,1107.52,726.19,1434.91,2064,708.72
Brasilia (DF) → Recife (PE),607.5660080941868,568.38,421.2,804.24,2718,383.04
Brasilia (DF) → Rio de Janeiro (RJ),480.4215552325581,457.95,344.26,649.64,1376,305.38
Brasilia (DF) → Salvador (BH),1366.7737273991656,1346.6,921.08,1724.49,1438,803.41
Brasilia (DF) → Sao Paulo (SP),762.0633265097237,750.0,533.8,992.17,1954,458.37
Campo Grande (MS) → Aracaju (SE),1245.5386792949223,1215.45,877.56,1581.8,3801,704.24
Campo Grande (MS) → Brasilia (DF),723.3130633469902,691.99,506.56,949.99,3173,443.43
Campo Grande (MS) → Florianopolis (SC),1104.8228175081854,1031.59,764.53,1446.34,5803,681.81
Campo Grande (MS) → Natal (RN),619.0137768924303,652.47,411.05,778.01,2510,366.96
